"name","allycode","playerId","estimatedScore","lastActualScore","diff","diffPercent"
"Aga Knaack","911151268","vAPvvr6mSLiORZedktgTTg",5256500,2365000,-2891500,-55
"Aig","886235445","vcIVc-zYSR2M2jhE_8zSEQ",5335000,3115000,-2220000,-41.6
"Ainz","671615837","_jKtotEARCCM9zSsDNCXGA",10656500,10500000,-156500,-1.5
"Ḅ","436378167","CGRffeniRKKde68zxogxBg",5581000,5475000,-106000,-1.9
"B0ba F3tt","877173821","nUpNUXYKRgeyP1UAJqITIg",7372500,5497500,-1875000,-25.4
"Black Bird","853184111","0cmwBQtrTjuGB0gQXghxnA",4301500,2700000,-1601500,-37.2
"Bombe135","661367153","pVkKIf7RTHaHcTF4Vr7ZAw",4353000,4500000,147000,3.4
"Butterblume","966929178","uWwhLMlNQWyllzODTTahrg",5441000,6000000,559000,10.3
"BΛ Abdi","939411527","VGwLqdjOR2yiKDu-urjYqQ",12254000,10800000,-1454000,-11.9
"BΛ Anderle","595695953","zD7ML_3nR4edQwE3fyqf2Q",12251500,12680000,428500,3.5
"BΛ Egge","325551912","w1IqPzAVT9G_8-R87f5Tiw",7913500,5250000,-2663500,-33.7
"BΛ Estios Belano","238696356","Liab_TNnR-SaRVj8VpH95w",6441500,4305000,-2136500,-33.2
"BΛ Mara","996663718","zXZ-yVWiRO6KX8VKufwgrA",5736000,3000000,-2736000,-47.7
"BΛ Pelalo","558894939","okaoKZCXQO-6XnucLXP-vQ",5090000,2722500,-2367500,-46.5
"BΛDarth Olliwahn","888284628","S78NpCJDSSueoWiY-VZieQ",10743500,10470000,-273500,-2.5
"Chilla","786318765","F7_qiEFxT4Gc3npDaTHTbA",4035000,3240000,-795000,-19.7
"DarthJedi117","915543352","sFU5jVi4TUCrNcUyDC9m2w",11087000,6600000,-4487000,-40.5
"DarthLuk","151988573","zii02Y48SWmowkyh5P0lpA",14680500,8130000,-6550500,-44.6
"Davie2012","732448493","SOlyMVfnTiyN2-u6gnSz4A",10463000,9600000,-863000,-8.2
"DTDini","996625266","SbLSJPTFRsW6sTTs_oku2g",7280000,6900000,-380000,-5.2
"Fuxxy","862196748","bZlcYrYkSDOxLt_fWVXKXQ",8151500,3600000,-4551500,-55.8
"ƑƎ Choparinį","716141195","mwgvAS4zQJiiLTGhPznuDg",11562500,12000000,437500,3.8
"Gaudiguy","231241421","ZLYjk4n_QeqseVMn9-XGNw",4979500,3900000,-1079500,-21.7
"Gustl314","415291567","-bQ0cFniRLGL4QD9wNxWGw",8641500,4310000,-4331500,-50.1
"Harry Soloo","578242431","Oj-uOHhMQaiXpXPuAC-PEQ",8891000,7790000,-1101000,-12.4
"Holly","374962465","VaEAEfdbSRywldpuc1FzbA",11601000,9735000,-1866000,-16.1
"Julian","797155666","iwouawpbTM-qR_1QUezF1g",13800000,13800000,0,0
"Lameth","924996826","BoKuF1TbRnyS8HX_dUo7jw",12000000,12000000,0,0
"Lasy","521595934","PnqhgNpxR4m5eYrsG_Nmbg",10743500,6300000,-4443500,-41.4
"Lazarus","874269143","Fl4uiAFvTqysBEEoNvp26w",9373000,6982500,-2390500,-25.5
"Melior i Lakin","415586159","d6EmPyxZSdOGBOXitYnEnQ",9561000,5340000,-4221000,-44.1
"Mellman","647672384","fpUCNKDMQZK9IyJ6kY_ZEw",6299000,300000,-5999000,-95.2
"Murmeli","332212225","KGPcfw14Rg-aGqHq5Wt9gA",4800500,3070000,-1730500,-36
"Namuron","741729992","fL83BfHITe-0HoTpVXdxuw",8743500,5550000,-3193500,-36.5
"Nightfighter","721215257","fj8CV1knSwKYWesZJfSEkw",5802000,1500000,-4302000,-74.1
"OttiJR","113611225","MF1CLn0TTByrO6Vv-YGrWQ",13786500,3600000,-10186500,-73.9
"PaRa","324572396","FpoYkvtHRvainqDg2PbCkQ",13148500,12600000,-548500,-4.2
"Pepir","668878954","TowWJmmqR1OBAiW3w5IfhQ",12244500,12150000,-94500,-0.8
"Prometheus","287417965","1czmJBO9TJaxdV-vNCn23g",5867000,2372500,-3494500,-59.6
"RogueOne","256234237","Q_bUI2HuQNCxLszIuITUFw",6204000,1720000,-4484000,-72.3
"Rooney","282684222","A3r1XWPXTmuD3T9ous5N1g",9528000,8910000,-618000,-6.5
"Saturate","249471262","CqFHdJmZRjmVywkc_THCHA",14700000,14700000,0,0
"Sel Fie","611739423","UW750jypRLGAbXQ1-SLucA",4083000,3150000,-933000,-22.9
"Stevie194","252142152","7GPLLsWBRRi9XVGy7ojfpA",7779000,5700000,-2079000,-26.7
"Sunve","681923264","5MtOk18GShKzbVrS64fJCQ",6373000,5700000,-673000,-10.6
"Telemachus","237913636","7JGbNqKOQySkxSJi_22CGw",3126500,3150000,23500,0.8
"Tim","714876991","uO_4yKCHSF-1nxZpbglOrg",8717000,7500000,-1217000,-14
"TorinWoodle","276129715","_dr2Q8FYQlGNA862oJAHQw",14007500,10770000,-3237500,-23.1
"Vargur","653774334","X4uWji2ZTV-eWYUUeIcNQw",3527500,3150000,-377500,-10.7
"wega666","741954133","VfBUB7zqRgy7NsKUOayhtQ",10709500,7560000,-3149500,-29.4
