"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,9900000,-5400000,-35.3
"TorinWoodle","276129715",15092500,12230000,-2862500,-19
"Saturate","249471262",14700000,14700000,0,0
"DarthLuk","151988573",14700000,14235000,-465000,-3.2
"Namuron","741729992",13977000,13080000,-897000,-6.4
"OttiJR","113611225",13800000,5850000,-7950000,-57.6
"Julian","797155666",13800000,13800000,0,0
"wega666","741954133",13800000,7765000,-6035000,-43.7
"PaRa","324572396",13800000,12600000,-1200000,-8.7
"Holly","374962465",13791000,13800000,9000,0.1
"Davie2012","732448493",13500000,13200000,-300000,-2.2
"Lazarus","874269143",13106000,13500000,394000,3
"DarthJedi117","915543352",12900000,11260000,-1640000,-12.7
"BΛ Anderle","595695953",12600000,12435000,-165000,-1.3
"Pepir","668878954",12600000,12600000,0,0
"Rooney","282684222",12600000,12600000,0,0
"CeeK4y","434842414",12593500,12600000,6500,0.1
"Lasy","521595934",12300000,11100000,-1200000,-9.8
"Harry Soloo","578242431",12000000,11040000,-960000,-8
"Lameth","924996826",12000000,12000000,0,0
"Ḅ","436378167",11945500,10705000,-1240500,-10.4
"Gustl314","415291567",11700000,7005000,-4695000,-40.1
"ƑƎ Choparinį","716141195",11681000,11040000,-641000,-5.5
"Mellman","647672384",11595500,7135000,-4460500,-38.5
"BΛDarth Olliwahn","888284628",11400000,7020000,-4380000,-38.4
"Fuxxy","862196748",11302000,9780000,-1522000,-13.5
"Tim","714876991",11100000,10702500,-397500,-3.6
"BΛ Mara","996663718",10866500,10500000,-366500,-3.4
"DTDini","996625266",10800000,9780000,-1020000,-9.4
"Ainz","671615837",10740500,10500000,-240500,-2.2
"BΛ Egge","325551912",10706500,9052500,-1654000,-15.4
"Spacekenny","758475213",10200000,10350000,150000,1.5
"B0ba F3tt","877173821",9850500,8587500,-1263000,-12.8
"Stevie194","252142152",9762500,8700000,-1062500,-10.9
"Nightfighter","721215257",9522500,8700000,-822500,-8.6
"Sel Fie","611739423",8995000,7350000,-1645000,-18.3
"Sunve","681923264",8903500,9450000,546500,6.1
"Prometheus","287417965",8624000,4743750,-3880250,-45
"RogueOne","256234237",8278000,7200000,-1078000,-13
"Butterblume","966929178",7747500,8550000,802500,10.4
"Bombe135","661367153",7727500,8100000,372500,4.8
"BΛ Estios Belano","238696356",7500000,7057500,-442500,-5.9
"Murmeli","332212225",7283000,5410000,-1873000,-25.7
"Gaudiguy","231241421",7146500,6450000,-696500,-9.7
"DarthLL","737262568",7133000,6050000,-1083000,-15.2
"Okul Kelbo Shark","593496448",6872500,6450000,-422500,-6.1
"Black Bird","853184111",6631000,3482500,-3148500,-47.5
"Albipwnr","919866355",6415000,5852500,-562500,-8.8
"Vargur","653774334",5837500,4860000,-977500,-16.7
"Chilla","786318765",5022000,3432500,-1589500,-31.7
