"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ AᎮƎMO","939411527",17100000,17100000,0,0
"Saturate","249471262",17100000,17100000,0,0
"DarthLuk","151988573",17100000,3600000,-13500000,-78.9
"Namuron","741729992",17083500,17100000,16500,0.1
"TorinWoodle","276129715",16906000,14400000,-2506000,-14.8
"Julian","797155666",16200000,16200000,0,0
"PaRa","324572396",16200000,3600000,-12600000,-77.8
"Lazarus","874269143",16110000,16200000,90000,0.6
"OttiJR","113611225",15530000,15300000,-230000,-1.5
"Lasy","521595934",15527000,8100000,-7427000,-47.8
"wega666","741954133",15500000,8550000,-6950000,-44.8
"BΛ Anderle","595695953",15300000,16200000,900000,5.9
"BΛDarth Olliwahn","888284628",15300000,12510000,-2790000,-18.2
"Davie2012","732448493",15300000,12780000,-2520000,-16.5
"ƑƎ Choparinį","716141195",15202000,15300000,98000,0.6
"B0ba F3tt","877173821",14700000,13640000,-1060000,-7.2
"Tim","714876991",14700000,14377500,-322500,-2.2
"DarthJedi117","915543352",14700000,12840000,-1860000,-12.7
"CeeKΛy","434842414",14700000,14700000,0,0
"Pepir","668878954",14400000,13575000,-825000,-5.7
"Bombe135","661367153",14400000,14400000,0,0
"Holly","374962465",14393500,14400000,6500,0
"Sel Fie","611739423",13800000,12900000,-900000,-6.5
"Ainz","671615837",13800000,13800000,0,0
"Harry Soloo","578242431",13800000,12900000,-900000,-6.5
"Lameth","924996826",13800000,13800000,0,0
"BΛ Egge","325551912",13500000,12300000,-1200000,-8.9
"Rooney","282684222",13500000,13500000,0,0
"Spacekenny","758475213",13500000,13500000,0,0
"DarthLL","737262568",13324000,8940000,-4384000,-32.9
"Prometheus","287417965",12900000,7290000,-5610000,-43.5
"Gustl314","415291567",12900000,6300000,-6600000,-51.2
"BΛ Estios Belano","238696356",12900000,12690000,-210000,-1.6
"Nightfighter","721215257",12900000,12600000,-300000,-2.3
"Sunve","681923264",12600000,900000,-11700000,-92.9
"Stevie194","252142152",12585000,6300000,-6285000,-49.9
"Mellman","647672384",12454000,11610000,-844000,-6.8
"Ḅ","436378167",12247500,12300000,52500,0.4
"BΛ Mara","996663718",12000000,10785000,-1215000,-10.1
"DTDini","996625266",11400000,1800000,-9600000,-84.2
"Fuxxy","862196748",11334000,12600000,1266000,11.2
"Butterblume","966929178",11073000,13140000,2067000,18.7
"Okul Kelbo Shark","593496448",10693500,3600000,-7093500,-66.3
"RogueOne","256234237",10570500,7950000,-2620500,-24.8
"Black Bird","853184111",10500000,7650000,-2850000,-27.1
"Murmeli","332212225",10051000,8740000,-1311000,-13
"Gaudiguy","231241421",9904500,9000000,-904500,-9.1
"Chilla","786318765",9000000,7260000,-1740000,-19.3
"Albipwnr","919866355",9000000,9000000,0,0
"Vargur","653774334",7450000,5700000,-1750000,-23.5
